name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Collierville2,Hydro,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25,126.25
CombieNorth,Hydro_FixedDispatch,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013,0.330000013
CombieSouth1,Hydro_ZeroK,0.150000006,0.119999997,0.119999997,0.119999997,0.159999996,0.159999996,0.200000003,0.25999999,0.270000011,0.25999999,0.219999999,0.170000002
CombieSouth2,Hydro_ZeroK,0.150000006,0.119999997,0.119999997,0.119999997,0.159999996,0.159999996,0.200000003,0.25999999,0.270000011,0.25999999,0.219999999,0.170000002
CombieSouth3,Hydro_ZeroK,0.150000006,0.119999997,0.119999997,0.119999997,0.159999996,0.159999996,0.200000003,0.25999999,0.270000011,0.25999999,0.219999999,0.170000002
ControlGorge1,LCGS_CA_hydro,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Copco_2_1,HydroRPS,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Copco_2_2,HydroRPS,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Copco1-1,HydroRPS,10,10,10,10,10,10,10,10,10,10,10,10
Copco1-2,HydroRPS,10,10,10,10,10,10,10,10,10,10,10,10
Corona_1,Hydro_FixedDispatch,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905,2.849999905
Corra_Linn_1,Hydro,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939
Corra_Linn_2,Hydro,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939
Corra_Linn_3,Hydro,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939,16.88999939
Cottonwood_1,Hydro_ZeroK,0.370000005,0.310000002,0.340000004,0.370000005,0.379999995,0.360000014,0.379999995,0.519999981,0.50999999,0.460000008,0.379999995,0.310000002
Cottonwood_2,Hydro_ZeroK,0.370000005,0.310000002,0.340000004,0.370000005,0.379999995,0.360000014,0.379999995,0.519999981,0.50999999,0.460000008,0.379999995,0.310000002
Cougar_1,Hydro_FixedDispatch,0.01,15.07999992,8.079999924,7,0.01,0.01,0.01,8.619999886,8.619999886,13.46000004,16.14999962,8.619999886
Cougar_2,Hydro_FixedDispatch,0.01,15.07999992,8.079999924,7,0.01,0.01,0.01,8.619999886,8.619999886,13.46000004,16.14999962,8.619999886
CoveHydro1,Hydro_ZeroK,1.460000038,1.230000019,1.169999957,1.179999948,1.600000024,1.580000043,1.960000038,2.589999914,2.650000095,2.559999943,2.25,1.669999957
Cow_Creek_1,Hydro_ZeroK,0.289999992,0.25,0.230000004,0.239999995,0.319999993,0.319999993,0.389999986,0.519999981,0.529999971,0.50999999,0.449999988,0.330000013
Cow_Creek_2,Hydro_ZeroK,0.289999992,0.25,0.230000004,0.239999995,0.319999993,0.319999993,0.389999986,0.519999981,0.529999971,0.50999999,0.449999988,0.330000013
Cowlitz_Falls1,Hydro,35,35,35,35,35,35,35,35,35,35,35,35
Cowlitz_Falls2,Hydro,35,35,35,35,35,35,35,35,35,35,35,35
Coyote_Creek_1,Hydro_FixedDispatch,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114,3.130000114
CranberryCreekPower1,Hydro_ZeroK,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952
CranberryCreekPower2,Hydro_ZeroK,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952
CranberryCreekPower3,Hydro_ZeroK,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952
Crane_Valley,Hydro_FixedDispatch,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
Cresta_1,Hydro_FixedDispatch,35.95000076,21.89999962,21.45999908,29.37999916,42.11999893,43.47999954,42.20999908,38.02999878,30.57999992,30.55999947,32.02999878,28.79000092
Cresta_2,Hydro_FixedDispatch,35.95000076,21.89999962,21.45999908,29.37999916,42.11999893,43.47999954,42.20999908,38.02999878,30.57999992,30.55999947,32.02999878,28.79000092
Crosscut_CC5,Hydro_ZeroK,3,3,3,3,3,3,3,3,3,3,3,3
Crystal_1,Hydro_FixedDispatch,9.890000343,22.87999916,6.480000019,6.639999866,16.98999977,29.43000031,37.06999969,36.74000168,31.64999962,29.25,27.38999939,24.81999969
CrystalSprings,Hydro_ZeroK,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057,2.440000057
Curis_QF,Hydro_FixedDispatch,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952
Curry_Cattle,Hydro_FixedDispatch,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999,0.219999999
Cushman_2_31,Hydro,27,27,27,27,27,27,27,27,27,27,27,27
Cushman_2_32,Hydro,27,27,27,27,27,27,27,27,27,27,27,27
Cushman_2_33,Hydro,27,27,27,27,27,27,27,27,27,27,27,27
