productionRank,Name,Power_Model_1_true_0_false_,lat_1_8_,lon_1_8_,nameplate_MW_,annualProduction_MWh_,lat,long,ROR,Units,Pump,Reservoir,alpha,Slope_NID,Slope_Grand,Head_NID_m_,Storage_m3_,ID,BA,HUC2
148,'Union_Valley_1',1,38.8125,-120.4375,46.7,155532,38.83241,-120.448547,0,1,0,1,0.05,0.011632035,0.017815723,134.112,328560834.1,6612,BANC,18
149,'JSEastwoodPSInflowHY',1,37.3125,-119.0625,50.8,152220,37.3201,-119.0693,1,1,1,0,0.05,0.016414141,9999,19.812,481057.2,104,CISC,18
,,,,,,,,,,,,,,,,,,,,
150,'Drum1-1',0,39.3125,-120.8125,67.2,149012,39.25409,-120.75001,0,,,0,9999,9999,9999,3047.6952,0,235,CIPV,0
151,'Cushman_2_31',0,47.3125,-123.1875,81,143886,47.39776,-123.20121,0,,,0,9999,9999,9999,3047.6952,0,3915,TPWR,0
152,'Mount_Elbert_1',0,39.0625,-106.3125,200,142084,39.1062,-106.3468,0,,,0,9999,9999,9999,3047.6952,0,6208,WACM,0
153,'Pole_Hill_1',0,40.4375,-105.3125,38.2,141351,40.36415,-105.32409,0,,,0,9999,9999,9999,3047.6952,0,519,WACM,0
154,'Crystal_1',0,38.4375,-107.5625,31.5,141228,38.51049,-107.62357,0,,,0,9999,9999,9999,3047.6952,0,6159,WACM,0
155,'JSEastwoodPS',0,37.1875,-119.3125,199,139360,37.190467,-119.186241,0,,,0,9999,9999,9999,3047.6952,0,104,CISC,0
156,'NorthFork_OR1',0,45.3125,-122.3125,40.8,138836,45.24414,-122.28109,0,,,0,9999,9999,9999,3047.6952,0,3047,PGE,0
157,'Narrows2',0,39.3125,-121.1875,55,136628,39.39596,-121.14673,0,,,0,9999,9999,9999,3047.6952,0,455,CIPV,0
158,'Pardee_1',0,38.1875,-120.9375,29.99,135195,38.25267,-120.8476,0,,,0,9999,9999,9999,3047.6952,0,376,CIPV,0
159,'Lemolo_2_1',0,43.3125,-122.4375,38.5,130678,43.299582,-122.357851,0,,,0,9999,9999,9999,3047.6952,0,6421,PACW,0
160,'Butt_Valley_1',0,40.0625,-121.1875,41,130521,40.16965,-121.20773,0,,,0,9999,9999,9999,3047.6952,0,221,CIPV,0
