Generator,Data File,Multiplier
MossLanding_QF,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MoyieSprings1,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MoyieSprings2,HY_Generic_2010[Keswick05].csv,Escalator0.00004
MoyieSprings3,HY_Generic_2010[Keswick05].csv,Escalator0.0001
MoyieSprings4,HY_Generic_2010[Keswick05].csv,Escalator0.00015
MuckValley,HY_HatCrkPit1_2010[05].csv,Escalator0.00325
MudCreek_S_S_1,HY_Generic_2010[Keswick05].csv,Escalator0.000052
MudCreek_White,HY_Generic_2010[Keswick05].csv,Escalator0.000021
Narrows1,HY_SFeatherColgate_2010[05].csv,Escalator0.0012
Narrows2,HY_Narrows2_2010[05].csv,Escalator0.0055
Newcastle_1,HY_YubaBear_2010[05].csv,Escalator0.0012
NewHogan1,HY_MokelumneRiver_2010[05].csv,Escalator0.000271
NewHogan2,HY_MokelumneRiver_2010[05].csv,Escalator0.000129
NewLahontan,HY_Generic_2010[Keswick05].csv,Escalator0.0004
NewMelones1,HY_NewMelones_2010[05].csv,Escalator0.015
NewMelones2,HY_NewMelones_2010[05].csv,Escalator0.015
Nimbus_1,HY_Nimbus_2010[05].csv,Escalator0.000863
Nimbus_2,HY_Nimbus_2010[05].csv,Escalator0.000863
Nooksack,HY_Generic_2010[Keswick05].csv,Escalator0.00015
OilFields_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00038
Oldman_2_2,HY_OldmanRiver_2010[05].csv,Escalator0.0032
Oldman1-1,HY_OldmanRiver_2010[05].csv,Escalator0.0032
Olsen_GEN1,HY_BattleRiver_2010[05].csv,Escalator0.00058
Ontario1_1,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Ontario1-2,HY_Generic_2010[Keswick05].csv,Escalator0.00003
Ontario1-3,HY_Generic_2010[Keswick05].csv,Escalator0.000033
Ontario2_1,HY_Generic_2010[Keswick05].csv,Escalator0.000037
Orodell_Hydro_1,HY_Generic_2010[Keswick05].csv,Escalator0.000022
Oxbow_(CA)_1,HY_YubaBear_2010[05].csv,Escalator0.0006
PanPacificWebFlat,HY_CVPShasta_2010[05].csv,Escalator0.00025
Pardee_1,HY_MokelumneRiver_2010[05].csv,Escalator0.000953
Pardee_2,HY_MokelumneRiver_2010[05].csv,Escalator0.000953
Pardee_3,HY_MokelumneRiver_2010[05].csv,Escalator0.001093
Parker_Dam_1,HY_Parker_2010[05].csv,Escalator0.003
Parker_Dam_2,HY_Parker_2010[05].csv,Escalator0.003
Parker_Dam_3,HY_Parker_2010[05].csv,Escalator0.003
Parker_Dam_4,HY_Parker_2010[05].csv,Escalator0.003
Perris_1,HY_Generic_2010[Keswick05].csv,Escalator0.000794
PHP_2_2,HY_Generic_2010[Keswick05].csv,Escalator0.00118
